#SampleID	faith_pd
SRR1770737	61.04734006912742
SRR1770738	56.41804416673509
SRR1770742	52.91632941575918
SRR1770743	51.57854345682538
SRR1770744	61.53456187953014
SRR1770746	64.65332370827392
SRR1770752	47.13551422997691
SRR1770753	46.74277175225768
SRR1770756	57.91888764945779
SRR1770758	57.61208149854455
SRR1770760	60.35035733228351
SRR1770762	57.32133024481343
SRR1770766	36.12741058168231
SRR1770768	47.47844656922674
SRR1770770	42.58374118021781
SRR1770773	37.17807245774448
SRR1770775	36.68379531184741
SRR1770778	35.04621800081475
